书名,评分,出版,评论
飞鸟集,8.9,            [印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元      ,        (48199人评价)    
诗经,9.4,            孔丘 编订 / 北京出版社 / 2006-7 / 19.90元      ,        (15472人评价)    
海子的诗,8.9,            海子 / 人民文学出版社 / 1999-04 / 15.40      ,        (31547人评价)    
唐诗三百首,9.3,            蘅塘退士、陈婉俊 / 中华书局 / 1998-1-1 / 0.65      ,        (12649人评价)    
二十首情诗和一首绝望的歌,8.3,            [智利] 巴勃罗·聂鲁达 / 陈黎、张芬龄 / 南海出版公司 / 2014-6 / 39.50元      ,        (6710人评价)    
万物静默如谜,8.6,            [波] 维斯拉瓦辛波斯卡 / 陈黎、张芬龄 / 湖南文艺出版社 / 2012-8 / 26.00元      ,        (13637人评价)    
夜的命名术,8.6,            [阿根廷]阿莱杭德娜皮扎尼克 / 汪天艾 / 作家出版社 / 2019-10 / 58元      ,        (1083人评价)    
想象一朵未来的玫瑰,8.5,            [葡] 费尔南多·佩索阿 / 杨铁军 / 雅众文化/中信出版集团 / 2019-5 / 59.80      ,        (1611人评价)    
月光落在左手上,8.2,            余秀华 / 广西师范大学出版社 / 2015-2-1 / 29.00元      ,        (9120人评价)    
云雀叫了一整天,8.5,            木心 / 广西师范大学出版社 / 2009-1-1 / CNY 30.00      ,        (11167人评价)    
顾城的诗,8.8,            顾城 / 人民文学出版社 / 1998-12 / 20.00      ,        (17533人评价)    
给青年诗人的信,9.0,            [奥] 里尔克 / 冯至 / 雅众文化/云南人民出版社 / 2015-12 / 29.00元      ,        (6662人评价)    
海子诗全集,9.2,            海子 著、西川 编 / 作家出版社 / 2009-3 / 88.00元      ,        (8926人评价)    
云雀叫了一整天,8.6,            木心 / 广西师范大学出版社 / 2013-3 / 30.00      ,        (7598人评价)    
万物静默如谜,8.7,            [波兰] 维斯瓦娃·辛波斯卡 / 陈黎、张芬龄 / 湖南文艺出版社 / 2016-8 / 48.00元      ,        (3608人评价)    
我的孤独是一座花园,8.6,            [叙利亚] 阿多尼斯 / 薛庆国 / 译林出版社 / 2009-3 / 28.00      ,        (11364人评价)    
诗人十四个,8.8,            黄晓丹 / 北京联合出版公司 / 2019-7 / 52.00元      ,        (623人评价)    
荒原,8.8,            (英)托·斯·艾略特 / 汤永宽、裘小龙 / 上海译文出版社 / 2012-7-1 / 45.00      ,        (3222人评价)    
声音中的另一种语言,9.5,            [法]伊夫·博纳富瓦 / 许翡玎、曹丹红 / 拜德雅丨广西人民出版社 / 2020-3 / 69.80元      ,        (30人评价)    
人间词话,9.0,            王国维 / 上海古籍出版社 / 1998-12-01 / 9.80元      ,        (37437人评价)    
